permit_number,inspection_date,inspection_type,result,notes,inspector_name,reinspection_flag,source_url
ELZ-2026-0268,2026-05-22,Rough-in,Partial,Foyer closet branch wiring repaired but replacement cove lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0268/1
ELZ-2026-0268,2026-05-23,Correction follow-up,Pass,Replacement cove lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0268/2
ELZ-2026-0269,2026-05-22,Rough-in,Partial,Entry closet branch wiring repaired but replacement valance lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0269/1
ELZ-2026-0269,2026-05-23,Correction follow-up,Pass,Replacement valance lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0269/2
ELZ-2026-0270,2026-05-22,Rough-in,Partial,Bedroom closet branch wiring repaired but replacement soffit lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0270/1
ELZ-2026-0270,2026-05-23,Correction follow-up,Pass,Replacement soffit lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0270/2
ELZ-2026-0271,2026-05-22,Rough-in,Partial,Upstairs closet branch wiring repaired but replacement cabinet lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0271/1
ELZ-2026-0271,2026-05-23,Correction follow-up,Pass,Replacement cabinet lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0271/2
ELZ-2026-0272,2026-05-22,Rough-in,Partial,Downstairs closet branch wiring repaired but replacement niche lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0272/1
ELZ-2026-0272,2026-05-23,Correction follow-up,Pass,Replacement niche lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0272/2
ELZ-2026-0273,2026-05-22,Rough-in,Partial,Pantry closet branch wiring repaired but replacement toe-kick lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0273/1
ELZ-2026-0273,2026-05-23,Correction follow-up,Pass,Replacement toe-kick lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0273/2
ELZ-2026-0274,2026-05-22,Rough-in,Partial,Rear pantry closet branch wiring repaired but replacement accent lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0274/1
ELZ-2026-0274,2026-05-23,Correction follow-up,Pass,Replacement accent lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0274/2
ELZ-2026-0275,2026-05-22,Rough-in,Partial,Side pantry closet branch wiring repaired but replacement task lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0275/1
ELZ-2026-0275,2026-05-23,Correction follow-up,Pass,Replacement task lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0275/2
ELZ-2026-0276,2026-05-22,Rough-in,Partial,West pantry closet branch wiring repaired but replacement under-cabinet lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0276/1
ELZ-2026-0276,2026-05-23,Correction follow-up,Pass,Replacement under-cabinet lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0276/2
ELZ-2026-0277,2026-05-22,Rough-in,Partial,East pantry closet branch wiring repaired but replacement linear lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0277/1
ELZ-2026-0277,2026-05-23,Correction follow-up,Pass,Replacement linear lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0277/2
ELZ-2026-0278,2026-05-22,Rough-in,Partial,North pantry closet branch wiring repaired but replacement display lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0278/1
ELZ-2026-0278,2026-05-23,Correction follow-up,Pass,Replacement display lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0278/2
ELZ-2026-0279,2026-05-22,Rough-in,Partial,South pantry closet branch wiring repaired but replacement picture lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0279/1
ELZ-2026-0279,2026-05-23,Correction follow-up,Pass,Replacement picture lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0279/2
ELZ-2026-0280,2026-05-22,Rough-in,Partial,Center pantry closet branch wiring repaired but replacement rail lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0280/1
ELZ-2026-0280,2026-05-23,Correction follow-up,Pass,Replacement rail lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0280/2
ELZ-2026-0281,2026-05-22,Rough-in,Partial,Upper pantry closet branch wiring repaired but replacement puck lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0281/1
ELZ-2026-0281,2026-05-23,Correction follow-up,Pass,Replacement puck lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0281/2
ELZ-2026-0282,2026-05-22,Rough-in,Partial,Lower pantry closet branch wiring repaired but replacement rope lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0282/1
ELZ-2026-0282,2026-05-23,Correction follow-up,Pass,Replacement rope lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0282/2
ELZ-2026-0283,2026-05-22,Rough-in,Partial,Corner pantry closet branch wiring repaired but replacement accent-strip lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0283/1
ELZ-2026-0283,2026-05-23,Correction follow-up,Pass,Replacement accent-strip lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0283/2
ELZ-2026-0284,2026-05-22,Rough-in,Partial,Rear hall pantry closet branch wiring repaired but replacement cove lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0284/1
ELZ-2026-0284,2026-05-23,Correction follow-up,Pass,Replacement cove lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0284/2
ELZ-2026-0285,2026-05-22,Rough-in,Partial,Front hall pantry closet branch wiring repaired but replacement valance lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0285/1
ELZ-2026-0285,2026-05-23,Correction follow-up,Pass,Replacement valance lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0285/2
ELZ-2026-0286,2026-05-22,Rough-in,Partial,Side hall pantry closet branch wiring repaired but replacement shelf lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0286/1
ELZ-2026-0286,2026-05-23,Correction follow-up,Pass,Replacement shelf lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0286/2
ELZ-2026-0287,2026-05-22,Rough-in,Partial,Middle hall pantry closet branch wiring repaired but replacement ceiling-strip lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0287/1
ELZ-2026-0287,2026-05-23,Correction follow-up,Pass,Replacement ceiling-strip lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0287/2
ELZ-2026-0288,2026-05-22,Rough-in,Partial,Rear annex pantry closet branch wiring repaired but replacement under-shelf lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0288/1
ELZ-2026-0288,2026-05-23,Correction follow-up,Pass,Replacement under-shelf lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0288/2
ELZ-2026-0289,2026-05-22,Rough-in,Partial,East annex pantry closet branch wiring repaired but replacement toe-kick lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0289/1
ELZ-2026-0289,2026-05-23,Correction follow-up,Pass,Replacement toe-kick lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0289/2
ELZ-2026-0290,2026-05-22,Rough-in,Partial,West annex pantry closet branch wiring repaired but replacement baseboard lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0290/1
ELZ-2026-0290,2026-05-23,Correction follow-up,Pass,Replacement baseboard lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0290/2
ELZ-2026-0291,2026-05-22,Rough-in,Partial,North annex pantry closet branch wiring repaired but replacement display lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0291/1
ELZ-2026-0291,2026-05-23,Correction follow-up,Pass,Replacement display lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0291/2
ELZ-2026-0292,2026-05-22,Rough-in,Partial,South annex pantry closet branch wiring repaired but replacement picture lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0292/1
ELZ-2026-0292,2026-05-23,Correction follow-up,Pass,Replacement picture lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0292/2
ELZ-2026-0293,2026-05-22,Rough-in,Partial,Garden annex pantry closet branch wiring repaired but replacement cove lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0293/1
ELZ-2026-0293,2026-05-23,Correction follow-up,Pass,Replacement cove lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0293/2
ELZ-2026-0294,2026-05-22,Rough-in,Partial,West garden annex pantry closet branch wiring repaired but replacement valance lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0294/1
ELZ-2026-0294,2026-05-23,Correction follow-up,Pass,Replacement valance lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0294/2
ELZ-2026-0295,2026-05-22,Rough-in,Partial,East garden annex pantry closet branch wiring repaired but replacement lantern-strip lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0295/1
ELZ-2026-0295,2026-05-23,Correction follow-up,Pass,Replacement lantern-strip lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0295/2
ELZ-2026-0296,2026-05-22,Rough-in,Partial,North garden annex pantry closet branch wiring repaired but replacement shelf lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0296/1
ELZ-2026-0296,2026-05-23,Correction follow-up,Pass,Replacement shelf lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0296/2
ELZ-2026-0297,2026-05-22,Rough-in,Partial,South garden annex pantry closet branch wiring repaired but replacement picture-rail lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0297/1
ELZ-2026-0297,2026-05-23,Correction follow-up,Pass,Replacement picture-rail lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0297/2
ELZ-2026-0298,2026-05-22,Rough-in,Partial,East conservatory pantry closet branch wiring repaired but replacement under-rail lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0298/1
ELZ-2026-0298,2026-05-23,Correction follow-up,Pass,Replacement under-rail lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0298/2
ELZ-2026-0299,2026-05-22,Rough-in,Partial,West conservatory pantry closet branch wiring repaired but replacement cove-rail lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0299/1
ELZ-2026-0299,2026-05-23,Correction follow-up,Pass,Replacement cove-rail lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0299/2
ELZ-2026-0300,2026-05-23,Rough-in,Partial,South conservatory pantry closet branch wiring repaired but replacement lantern-rail lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0300/1
ELZ-2026-0300,2026-05-24,Correction follow-up,Pass,Replacement lantern-rail lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0300/2
ELZ-2026-0301,2026-05-23,Rough-in,Partial,North conservatory pantry closet branch wiring repaired but replacement valance-rail lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0301/1
ELZ-2026-0301,2026-05-24,Correction follow-up,Pass,Replacement valance-rail lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0301/2
ELZ-2026-0302,2026-05-23,Rough-in,Partial,East mezzanine pantry closet branch wiring repaired but replacement gallery-rail lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0302/1
ELZ-2026-0302,2026-05-24,Correction follow-up,Pass,Replacement gallery-rail lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0302/2
ELZ-2026-0303,2026-05-23,Rough-in,Partial,West mezzanine pantry closet branch wiring repaired but replacement display-rail lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0303/1
ELZ-2026-0303,2026-05-24,Correction follow-up,Pass,Replacement display-rail lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0303/2
ELZ-2026-0304,2026-05-23,Rough-in,Partial,North mezzanine pantry closet branch wiring repaired but replacement canopy-rail lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0304/1
ELZ-2026-0304,2026-05-24,Correction follow-up,Pass,Replacement canopy-rail lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0304/2
ELZ-2026-0305,2026-05-24,Rough-in,Partial,South mezzanine pantry closet branch wiring repaired but replacement bulkhead-rail lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0305/1
ELZ-2026-0305,2026-05-25,Correction follow-up,Pass,Replacement bulkhead-rail lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0305/2
ELZ-2026-0306,2026-05-24,Rough-in,Partial,East loft pantry closet branch wiring repaired but replacement shelf-rail lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0306/1
ELZ-2026-0306,2026-05-25,Correction follow-up,Pass,Replacement shelf-rail lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0306/2
ELZ-2026-0307,2026-05-24,Rough-in,Partial,West loft pantry closet branch wiring repaired but replacement track-rail lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0307/1
ELZ-2026-0307,2026-05-25,Correction follow-up,Pass,Replacement track-rail lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0307/2
ELZ-2026-0308,2026-05-24,Rough-in,Partial,South loft pantry closet branch wiring repaired but replacement cove-rail lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0308/1
ELZ-2026-0308,2026-05-25,Correction follow-up,Pass,Replacement cove-rail lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0308/2
ELZ-2026-0309,2026-05-24,Rough-in,Partial,North attic pantry closet branch wiring repaired but replacement cornice-rail lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0309/1
ELZ-2026-0309,2026-05-25,Correction follow-up,Pass,Replacement cornice-rail lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0309/2
ELZ-2026-0310,2026-05-24,Rough-in,Partial,East attic pantry closet branch wiring repaired but replacement pendant-rail lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0310/1
ELZ-2026-0310,2026-05-25,Correction follow-up,Pass,Replacement pendant-rail lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0310/2
ELZ-2026-0311,2026-05-24,Rough-in,Partial,West attic pantry closet branch wiring repaired but replacement gallery-rail lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0311/1
ELZ-2026-0311,2026-05-25,Correction follow-up,Pass,Replacement gallery-rail lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0311/2
ELZ-2026-0312,2026-05-24,Rough-in,Partial,South attic pantry closet branch wiring repaired but replacement transom-rail lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0312/1
ELZ-2026-0312,2026-05-25,Correction follow-up,Pass,Replacement transom-rail lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0312/2
